"hotel_id","hbg_code","airport_code"
3784,"14917","LON"
3791,"13892","LON"
3796,"102239","LON"
3827,"42616","LON"
3857,"49375","LON"
3886,"6643","LON"
3894,"9244","LON"
3915,"7557","LON"
3947,"13888","LON"
3995,"65169","LON"
4288,"6611","LON"
4290,"6607","LON"
4354,"6565","LON"
4715,"36769","LON"
5308,"7549","LON"
5309,"6638","LON"
5312,"6554","LON"
5313,"6560","LON"
5314,"6550","LON"
5315,"6616","LON"
5316,"7566","LON"
5317,"7560","LON"
6037,"25859","LON"
7138,"84356","LON"
7335,"6553","LON"
7337,"179409","LON"
7392,"7568","LON"
7393,"7563","LON"
7396,"26120","LON"
7401,"179390","LON"
7414,"16233","LON"
7506,"17311","LON"
7643,"6639","LON"
7731,"6569","LON"
7759,"15176","LON"
7769,"14995","LON"
7770,"15178","LON"
8042,"8900","LON"
8623,"15147","LON"
8624,"17670","LON"
8703,"7570","LON"
8890,"6615","LON"
8903,"7542","LON"
9385,"15847","LON"
9393,"40388","LON"
9396,"6557","LON"
9757,"6622","LON"
9763,"37130","LON"
10010,"109733","LON"
10208,"6556","LON"
10253,"6634","LON"
10707,"316645","LON"
11561,"16108","LON"
12641,"13897","LON"
13533,"6558","LON"
13551,"7574","LON"
14001,"17412","LON"
14418,"7573","LON"
15825,"6610","LON"
16135,"6641","LON"
16136,"7564","LON"
16149,"7555","LON"
16151,"7561","LON"
16152,"6636","LON"
16156,"7565","LON"
16157,"6547","LON"
16159,"7544","LON"
16165,"7550","LON"
16167,"6573","LON"
16540,"71468","LON"
17000,"6653","LON"
17430,"8941","LON"
17434,"7571","LON"
17437,"17394","LON"
18400,"313351","LON"
19328,"35317","LON"
19746,"15894","LON"
1003250,"15798","LON"
1003261,"178431","LON"
1003262,"109733","LON"
1031026,"14141","LON"
1031105,"14170","LON"
1031428,"14985","LON"
1031627,"36707","LON"
1031938,"58694","LON"
1032298,"6609","LON"
1032483,"107908","LON"
1032537,"6548","LON"
1032697,"6612","LON"
1033916,"7572","LON"
1034071,"82704","LON"
1035593,"7576","LON"
1035596,"36774","LON"
1035597,"38699","LON"
1035634,"6561","LON"
1035638,"155257","LON"
1035672,"37083","LON"
1035812,"7558","LON"
1039904,"164991","LON"
1040371,"9227","LON"
1200714,"83150","LON"
1200929,"7545","LON"
1201107,"7546","LON"
1201633,"46622","LON"
1201635,"7540","LON"
1201714,"59579","LON"
1202213,"6550","LON"
1202216,"70989","LON"
1202217,"6639","LON"
1202220,"7566","LON"
1202224,"6616","LON"
1202225,"77690","LON"
1202226,"26120","LON"
1202222,"6554","LON"
1202221,"7568","LON"
1202218,"7560","LON"
1202219,"7549","LON"
1202223,"7563","LON"
1202954,"13901","LON"
1203423,"41285","LON"
1203470,"15170","LON"
1203949,"629949","LON"
1203975,"13891","LON"
1204155,"86184","LON"
1204638,"7556","LON"
1204735,"6646","LON"
1204737,"6564","LON"
1204739,"6650","LON"
1205154,"84242","LON"
1205222,"6635","LON"
1205453,"6608","LON"
1206124,"106713","LON"
1209717,"111645","LON"
1212519,"13893","LON"
1212520,"6605","LON"
1212547,"6627","LON"
1212548,"9225","LON"
1212549,"9221","LON"
1212581,"6640","LON"
1213121,"15101","LON"
1213551,"103836","LON"
1213654,"14994","LON"
1213755,"58082","LON"
1213831,"153296","LON"
1214532,"132728","LON"
1215085,"174434","LON"
1215629,"70989","LON"
1216012,"59582","LON"
1216087,"6650","LON"
1216997,"47956","LON"
1216999,"77690","LON"
1217194,"36763","LON"
1217516,"161166","LON"
1217902,"314263","LON"
1219580,"6655","LON"
1219842,"183194","LON"
1219900,"315432","LON"
1221247,"124005","LON"
1221517,"126260","LON"
1223527,"7578","LON"
1224131,"139527","LON"
1229493,"14352","LON"
1229639,"115212","LON"
1229999,"115366","LON"
1230198,"36758","LON"
1230370,"102553","LON"
1231371,"6638","LON"
1231761,"164990","LON"
1231808,"36759","LON"
1231380,"6619","LON"
1232377,"6617","LON"
1232380,"6619","LON"
1232470,"14004","LON"
1233079,"8899","LON"
1233279,"156620","LON"
1233470,"14990","LON"
1233278,"163382","LON"
1233987,"9472","LON"
1234084,"14990","LON"
1234483,"155257","LON"
1234486,"36759","LON"
1234082,"7558","LON"
1234083,"6610","LON"
1234485,"7542","LON"
1234484,"16297","LON"
1234684,"37130","LON"
1234685,"6561","LON"
1234686,"36758","LON"
1234687,"8900","LON"
1234750,"36774","LON"
1234753,"15774","LON"
1234755,"7580","LON"
1234756,"401438","LON"
1234761,"109693","LON"
1234762,"9515","LON"
1234754,"15894","LON"
1234751,"36763","LON"
1234758,"7556","LON"
1235027,"156620","LON"
1236271,"36769","LON"
1236300,"7576","LON"
1238452,"104337","LON"
1238731,"86184","LON"
1241742,"87528","LON"
1241744,"111855","LON"
1241745,"160781","LON"
1241753,"314263","LON"
1241739,"70242","LON"
1243601,"13900","LON"
1247998,"179390","LON"
1248092,"179402","LON"
1248111,"179409","LON"
1248134,"16217","LON"
1248162,"13889","LON"
1248163,"6647","LON"
1248207,"100616","LON"
1248209,"179314","LON"
1248225,"169079","LON"
1248232,"109734","LON"
1248243,"145542","LON"
1248248,"151733","LON"
1248249,"176686","LON"
1255002,"15777","LON"
1255004,"15775","LON"
1256884,"36761","LON"
1257270,"317035","LON"
1258028,"36764","LON"
1259107,"163382","LON"
1263630,"164990","LON"
1263632,"164991","LON"
1264412,"38760","LON"
1274239,"9228","LON"
1295521,"172420","LON"
1296835,"174466","LON"
1297331,"9472","LON"
1297324,"8899","LON"
1297930,"151733","LON"
1299310,"156955","LON"
1299370,"232159","LON"
1299489,"193433","LON"
1299511,"111645","LON"
1299886,"100616","LON"
1299971,"7567","LON"
1300346,"104275","LON"
1300364,"7567","LON"
1310384,"13897","LON"
1314008,"72399","LON"
1314086,"164992","LON"
1314239,"9515","LON"
1315111,"183898","LON"
1315563,"8903","LON"
1315566,"25860","LON"
1315569,"25861","LON"
1315582,"162475","LON"
1315710,"167507","LON"
